Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-03-13 00:00:00-05:00,0.05537956378995448,0.0635236907527519,0.05537956378995448,0.060808565467596054,1031788800,0.0,0.0
1986-03-14 00:00:00-05:00,0.06080857404107703,0.0640665999533504,0.06080857404107703,0.06298017501831055,308160000,0.0,0.0
1986-03-17 00:00:00-05:00,0.0629802007525718,0.06460952659767684,0.0629802007525718,0.06406662613153458,133171200,0.0,0.0
1986-03-18 00:00:00-05:00,0.06406658341966102,0.06460948352386296,0.061894358556591374,0.062437258660793304,67766400,0.0,0.0
1986-03-19 00:00:00-05:00,0.06243726728228596,0.0629801674614529,0.06080856674478517,0.0613514669239521,47894400,0.0,0.0
1986-03-20 00:00:00-05:00,0.06135147829542502,0.06135147829542502,0.059179877176251866,0.05972277745604515,58435200,0.0,0.0
1986-03-21 00:00:00-05:00,0.05972277765713098,0.06080857822037343,0.057008276249024846,0.0580940768122673,59990400,0.0,0.0
1986-03-24 00:00:00-05:00,0.05809405785543598,0.05809405785543598,0.05592245743757196,0.056465357542037964,65289600,0.0,0.0
1986-03-25 00:00:00-05:00,0.056465371159825785,0.057551171630620956,0.0559224709244282,0.057551171630620956,32083200,0.0,0.0
1986-03-26 00:00:00-05:00,0.05755115345609446,0.05972275371189826,0.057008253392143514,0.05917985364794731,22752000,0.0,0.0
1986-03-27 00:00:00-05:00,0.05917985638258387,0.06026565656065941,0.05917985638258387,0.06026565656065941,16848000,0.0,0.0
1986-03-31 00:00:00-05:00,0.06026567773583844,0.06026567773583844,0.058636976896458574,0.05972277745604515,12873600,0.0,0.0
1986-04-01 00:00:00-05:00,0.05972275371189826,0.05972275371189826,0.05917985364794731,0.05917985364794731,11088000,0.0,0.0
1986-04-02 00:00:00-05:00,0.059179877176251866,0.06080857801563173,0.059179877176251866,0.05972277745604515,27014400,0.0,0.0
1986-04-03 00:00:00-05:00,0.06026565656065941,0.061894356827772716,0.06026565656065941,0.06026565656065941,23040000,0.0,0.0
